Muskel (lateinisch);Deutsch;Region;Subregion;Gelenke;Gelenkgruppen;Ursprung;Ansatz;Funktion (Text);Funktionen (Filter);Innervation;Segmente;Klinik;Palpation hinterlegt;Funktionelle Gruppen;Schwierigkeit;Bilder;Eigene Karte;Kartenschlüssel;Detailseite (id)
M. quadratus femoris;;Untere Extremität;Hüfte;Art. coxae;Hüftgelenk;Tuber ischiadicum (lateral);Crista intertrochanterica des Femur;"Dreht den Oberschenkel nach außen und zieht ihn leicht zur Körpermitte (Adduktion); liegt zwischen Tuber ischiadicum und Crista intertrochanterica";Außenrotation · Adduktion;Plexus sacralis;L4, L5, S1;"Tiefe Außenrotatorengruppe; bei Reizung oder Verspannung kann Druckdolenz am Tuber ischiadicum auf diesen Muskel hindeuten";nein;;3;1;ja;M. quadratus femoris;quadratus-femoris
M. quadratus lumborum;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf · LWS;Wirbelsäule · Bauchwand & Beckenboden;Crista iliaca, Lig. iliolumbale;12. Rippe, Procc. costarii L1–L4;"Hebt einseitig das Becken und neigt die LWS zur gleichen Seite; beidseitig stabilisiert er Lendenregion und 12. Rippe";Lateralflexion · Extension · Rippensenkung;Plexus lumbalis;Th12, L1–L4;LWS-Schmerzen, Beckenschiefstand;nein;;2;0;ja;M. quadratus lumborum;quadratus-lumborum
M. quadratus plantae;;Untere Extremität;Fuß & Sprunggelenk;;Sprunggelenk & Fuß;Tuber calcanei (plantare Seite);M. flexor digitorum longus (Endsehne);Richtet die Zugrichtung des langen Zehenbeugers aus und unterstützt das Beugen der Kleinzehen;Zeh II–V: Flexion der MTP- und IP-Gelenke (unterstützt M. flexor digitorum longus);N. tibialis (N. plantaris lateralis);;"Verbessert die Kraftübertragung auf die Kleinzehen; Schwäche macht die plantare Zehenbeugung weniger sauber";nein;;3;1;ja;M. quadratus plantae;quadratus-plantae
M. rectus abdominis;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf;Bauchwand & Beckenboden;Proc. xiphoideus, Rippenknorpel 5–7;Symphysis pubica, Os pubis;Der M. rectus abdominis beugt den Rumpf nach ventral, indem er Brustkorb und Becken annähert. Darüber hinaus erhöht er den intraabdominalen Druck und unterstützt damit Bauchpresse, Defäkation, Miktion und Geburt.;Flexion · Kompression;Nn. intercostales;Th5–Th12;Rektusdiastase, Bauchpresse;nein;Bauchwand;1;0;ja;M. rectus abdominis;rectus-abdominis
M. rectus femoris;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior inferior und Azetabulum (oberer Rand);Tuberositas tibiae (via Patellarsehne);"Beugt die Hüfte im Hüftgelenk (Flexion in der Art. coxae); streckt das Kniegelenk als Teil des Quadriceps (Extension in der Art. genus)";Hüftflexion · Knieextension;N. femoralis;L2, L3, L4;"Risse der Quadricepssehne oder der Patellarsehne entstehen oft durch exzentrische Überlastung; der Rectus femoris ist als einziger Quadricepsanteil zweigelenkig und damit besonders gefährdet";nein;M. quadriceps femoris;1;3;ja;M. rectus femoris;rectus-femoris
M. rhomboideus major;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. spinosi Th1–Th4;Margo medialis scapulae;Retraktion, leichte Elevation und Abwärtsrotation der Scapula;Elevation · Retraktion · Innenrotation;N. dorsalis scapulae;C4, C5;Schwäche bei Skapula-Instabilität;nein;;1;1;ja;M. rhomboideus major;rhomboideus-major
M. rhomboideus minor;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. spinosi C6–C7 und Lig. nuchae;Margo medialis scapulae;Retraktion, leichte Elevation und Abwärtsrotation der Scapula;Elevation · Retraktion · Innenrotation;N. dorsalis scapulae;C4, C5;Schwäche bei Skapula-Instabilität;nein;;1;1;ja;M. rhomboideus minor;rhomboideus-minor
M. sartorius;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior superior;Tibia, Facies medialis (Pes anserinus);"Beugt und dreht die Hüfte nach außen; abduziert; im Kniegelenk bewirkt er Beugung und Innenrotation des Unterschenkels – typische Schneidersitzposition";Hüftflexion · Außenrotation · Abduktion · Knieflexion · Knie-Innenrotation;N. femoralis;L2, L3;Pes-anserinus-Syndrom;nein;;1;1;ja;M. sartorius;sartorius
M. semimembranosus;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;"Condylus medialis tibiae; Lig. popliteum obliquum";"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Innenrotation des Unterschenkels; zieht den Meniscus lateralis nach dorsal";Hüftextension · Knieflexion · Knie-Innenrotation;N. tibialis;L5, S1, S2;"Wie Semitendinosus ischiokrural gefährdet; die semimembranosus-Sehne kann eine Baker-Zyste unterhalten, wenn sie bei Kniepathologien mechanisch reizt";nein;Ischiocrurale Gruppe;1;3;ja;M. semimembranosus;semimembranosus
M. semispinalis;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule · Kopf;Wirbelsäule;"M. semispinalis capitis: Procc. transversi der hochthorakalen Wirbel und C3–C6; M. semispinalis cervicis: Procc. transversi der thorakalen Wirbel und C7; M. semispinalis thoracis: Procc. transversi Th7–Th12";"Linea nuchalis superior/inferior (capitis); Procc. spinosi C2–Th1 (cervicis); Procc. spinosi Th1–Th6, C6–C7 (thoracis)";"Beidseitig aktiv streckt der M. semispinalis HWS und BWS kräftig durch; bei einseitiger Kontraktion dreht er den Kopf und die Halswirbelsäule zur Gegenseite, was ihm eine wichtige Rolle bei Rotationsbewegungen des Kopfes verleiht.";Extension · Rotation kontralateral;Rr. dorsales der Spinalnerven;;Wichtiger Kopf- und Nackenextensor;nein;Autochthone Rückenmuskulatur — medialer Trakt;2;0;ja;M. semispinalis;semispinalis
M. semitendinosus;;Untere Extremität;Knie;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Tuber ischiadicum;Tibia, Facies medialis (Pes anserinus);"Streckt die Hüfte (Extension in der Art. coxae) und beugt das Knie (Flexion in der Art. genus); bei gebeugtem Knie Innenrotation des Unterschenkels";Hüftextension · Knieflexion · Knie-Innenrotation;N. tibialis;L5, S1, S2;"Zerrungen entstehen typischerweise beim Sprint oder schnellen Antritt; die Sehne dient als autologes Transplantat (z.B. Semitendinosus-Plastik) bei vorderem Kreuzbandriss";nein;Ischiocrurale Gruppe;1;3;ja;M. semitendinosus;semitendinosus
M. serratus anterior;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;"Pars superior: 1.–2. Rippe; Pars intermedia: 2.–3. Rippe; Pars inferior: 4.–9./10. Rippe";"Angulus superior (Pars superior); Margo medialis (Pars intermedia); Angulus inferior (Pars inferior)";"Protraktion und Stabilisierung der Scapula am Thorax; Pars inferior unterstützt die Aufwärtsrotation";Protraktion · Laterorotation;N. thoracicus longus;C5, C6, C7;Scapula alata bei Lähmung des N. thoracicus longus;nein;;2;2;ja;M. serratus anterior;serratus-anterior
M. serratus posterior inferior;;Wirbelsäule & Rumpf;Rückenmuskulatur;Rippen;Wirbelsäule;Procc. spinosi Th11–L2, Fascia thoracolumbalis;9.–12. Rippe (lateral der Anguli costae);Senkt die unteren Rippen und unterstützt die forcierte Ausatmung;Rippensenkung (Exspiration);Nn. intercostales;Th9–Th12;Atemhilfsmuskel bei forcierter Ausatmung;nein;;3;0;ja;M. serratus posterior inferior;serratus-posterior-inferior
M. serratus posterior superior;;Wirbelsäule & Rumpf;Rückenmuskulatur;Rippen;Wirbelsäule;Procc. spinosi C6–Th2, Lig. nuchae;2.–5. Rippe (lateral der Anguli costae);Hebt die oberen Rippen und unterstützt die Einatmung;Rippenhebung (Inspiration);Nn. intercostales;Th1–Th4;Atemhilfsmuskel bei forcierter Einatmung;nein;;3;0;ja;M. serratus posterior superior;serratus-posterior-superior
M. soleus;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis;Sprunggelenk & Fuß;Dorsale Tibia, Fibula und Arcus tendineus;Tuber calcanei (über Achillessehne);"Plantarflektiert den Fuß unabhängig von der Kniestellung; supiniert; als stärkster Plantarflexor ist er beim Gehen, Laufen und Treppensteigen essentiell";Fuß: Plantarflexion · Supination;N. tibialis;;"Bedeutsam als tiefe Beinvene verlaufende Muskelpumpe bei der Thromboseprophylaxe; Achillessehnenruptur und posteriores Kompartmentsyndrom betreffen auch den Soleus";nein;Oberflächliche Wadenmuskulatur;1;1;ja;M. soleus;soleus
M. sternocleidomastoideus;;Kopf & Hals;Halsmuskulatur;Kopfgelenke;Wirbelsäule;"Caput sternale: Manubrium sterni; Caput claviculare: Mediales Klavikuladrittel";"Proc. mastoideus; Linea nuchalis superior (lateraler Anteil)";"Beidseitig zieht der M. sternocleidomastoideus den Kopf in Inklination (Nickbewegung); einseitig rotiert er den Kopf zur Gegenseite und neigt ihn zur gleichen Seite. Er ist zudem ein wichtiger Atemhilfsmuskel bei forcierter Inspiration.";Rotation kontralateral · Lateralflexion ipsilateral · Inklination (bilateral);N. accessorius (XI), Plexus cervicalis C2–C3;C2–C3;"Der M. sternocleidomastoideus ist klinisch bedeutsam beim muskulären Schiefhals (Torticollis); er wird außerdem als Atemhilfsmuskel bei obstruktiver Lungenerkrankung aktiviert und ist ein wichtiges Leitgebilde für Halsoperationen.";nein;;1;0;ja;M. sternocleidomastoideus;sternocleidomastoideus
M. sternohyoideus;;Kopf & Hals;Infrahyoidale Muskeln;Zungenbein;Zungenbein & Kehlkopf;Manubrium sterni und Articulatio sternoclavicularis;Corpus ossis hyoidei;Der M. sternohyoideus senkt das Zungenbein nach dem Schluckakt wieder in die Ruhelage und zieht es nach kaudal. Er spielt zudem bei der Regulierung der Kehlkopfposition während der Phonation eine wichtige Rolle.;Zungenbeinabsenkung;Ansa cervicalis;C1–C3;"Als infrahyoidaler Muskel senkt der M. sternohyoideus das Zungenbein nach dem Schlucken wieder ab; bei Zustand nach Laryngektomie oder Nackendissektionen kann er in seiner Funktion eingeschränkt sein.";nein;Infrahyoidale Muskeln;1;0;ja;M. sternohyoideus;sternohyoideus
M. sternothyroideus;;Kopf & Hals;Infrahyoidale Muskeln;Kehlkopf;Zungenbein & Kehlkopf;Manubrium sterni (Innenfläche);Cartilago thyroidea (Linea obliqua);"Der M. sternothyroideus zieht den Kehlkopf nach kaudal; er senkt die Stimmlippen und ermöglicht damit tiefere Tonlagen. Nach dem Schlucken führt er gemeinsam mit den anderen infrahyoidalen Muskeln den Kehlkopf in die Ausgangsposition zurück.";Kehlkopfabsenkung;Ansa cervicalis;C1–C3;"Der M. sternothyroideus senkt den Kehlkopf nach dem Schlucken wieder ab und ist für tiefe Töne bei der Phonation mitverantwortlich; nach Schilddrüsenoperationen kann er vernäht oder durchtrennt sein.";nein;Infrahyoidale Muskeln;1;0;ja;M. sternothyroideus;sternothyroideus
M. stylohyoideus;;Kopf & Hals;Suprahyoidale Muskeln;Zungenbein;Zungenbein & Kehlkopf;Proc. styloideus (Os temporale);Corpus ossis hyoidei (Cornu majus);"Der M. stylohyoideus zieht das Zungenbein nach dorsal und kranial; er antagonisiert die ventralen suprahyoidalen Muskeln und ist an der Stabilisierung des Zungenbeins während der Schluck- und Sprechbewegungen beteiligt.";Zungenbeinanhebung und -dorsalverlagerung;N. facialis (VII);;"Der M. stylohyoideus wird vom N. facialis versorgt; bei peripherer Fazialisparese kann seine Lähmung die Zungenbeinanhebung beim Schlucken beeinträchtigen und zur neurogenen Dysphagie beitragen.";nein;Suprahyoidale Muskeln;2;0;ja;M. stylohyoideus;stylohyoideus
M. subclavius;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Oberseite der 1. Rippe;Unterseite der Clavicula, Extremitas acromialis;Stabilisiert und senkt die Clavicula;Depression der Clavicula;N. subclavius;C5, C6;Schutzfunktion für subclaviale Gefäße;nein;;2;1;ja;M. subclavius;subclavius
M. subscapularis;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Fossa subscapularis der Scapula (ventrale Seite);Crista tuberculi minoris humeri;Innenrotation und Adduktion im Schultergelenk;Innenrotation · Adduktion;N. subscapularis;C5, C6;Rotatorenmanschettenruptur, Subscapularis-Insuffizienz;nein;Rotatorenmanschette;1;3;ja;M. subscapularis;subscapularis
M. supinator;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;Epicondylus lateralis humeri, Crista musculi supinatoris ulnae, Lig. collaterale radiale, Lig. anulare radii;Proximaler Bereich der Facies lateralis radii;Supination im Unterarm;Supination;N. radialis;C5, C6;Supinator-Syndrom (N. radialis profundus-Kompression);nein;;2;2;ja;M. supinator;supinator
M. supraspinatus;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Fossa supraspinata der Scapula;Kranialer Teil des Tuberculum majus, Gelenkkapsel;"Initiiert die Abduktion; unterstützt die Außenrotation";Abduktion · Außenrotation;N. suprascapularis;C4, C5, C6;Impingement-Syndrom, Rotatorenmanschettenruptur;nein;Rotatorenmanschette;1;2;ja;M. supraspinatus;supraspinatus
M. temporalis;;Kopf & Hals;Kaumuskulatur;Kiefergelenk;Mimik & Kopfmuskulatur;Fossa temporalis und Fascia temporalis;Proc. coronoideus mandibulae und Vorderkante des Ramus mandibulae;Der M. temporalis hebt den Unterkiefer und schließt damit den Mund. Die hinteren Fasern ziehen den vorgeschobenen Unterkiefer nach dorsal (Retrusion) und sind damit der wichtigste Antagonist zur Protrusion.;Mundschluss · Retrusion des Unterkiefers;N. temporalis profundus (V3, N. trigeminus);;"Triggerpunkte im M. temporalis sind eine häufige Ursache für Schläfen- und Stirnkopfschmerzen sowie Zahnschmerzen; er ist bei Kiefergelenks-Dysfunktionen und Bruxismus mitbetroffen.";nein;Kaumuskulatur;1;0;ja;M. temporalis;temporalis
M. tensor fasciae latae;;Untere Extremität;Hüfte;Art. coxae · Art. genus;Hüftgelenk · Kniegelenk;Spina iliaca anterior superior;Tractus iliotibialis, Tuberculum von Gerdy an der Tibia;"Abduziert und beugt die Hüfte, dreht den Oberschenkel nach innen; spannt den Tractus iliotibialis und entlastet damit Femurschaft und -hals";Abduktion · Flexion · Innenrotation;N. gluteus superior;L4, L5, S1;"Pes-anserinus-Syndrom (Insertion am medialen Tibiakopf); die Sehne wird zudem als autologes Transplantat bei Kreuzbandrekonstruktionen verwendet";nein;;1;2;ja;M. tensor fasciae latae;tensor-fasciae-latae
M. teres major;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Kaudaler Teil der Margo lateralis und Angulus inferior der Scapula;Crista tuberculi minoris humeri;Innenrotation, Adduktion und Extension im Schultergelenk;Innenrotation · Adduktion · Extension;N. subscapularis;C5, C6, C7;Verkürzung bei Innenrotationskontraktur;nein;;1;2;ja;M. teres major;teres-major
M. teres minor;;Obere Extremität;Schultergürtel;Art. humeri;Schultergelenk;Margo lateralis der Scapula;Kaudaler Teil des Tuberculum majus, Gelenkkapsel;Außenrotation und Adduktion im Schultergelenk;Außenrotation · Adduktion;N. axillaris;C5, C6;Rotatorenmanschettenruptur;nein;Rotatorenmanschette;1;2;ja;M. teres minor;teres-minor
M. thyrohyoideus;;Kopf & Hals;Infrahyoidale Muskeln;Kehlkopf · Zungenbein;Zungenbein & Kehlkopf;Linea obliqua der Cartilago thyroidea;Cornu majus des Os hyoideum;"Der M. thyrohyoideus nähert Schildknorpel und Zungenbein an; bei fixiertem Zungenbein hebt er den Kehlkopf an, bei fixiertem Kehlkopf senkt er das Zungenbein. Er ist ein wichtiger Muskel bei der laryngealen Elevation beim Schlucken.";Annäherung von Kehlkopf und Zungenbein · Kehlkopfhebung;R. thyrohyoideus (aus C1 über N. hypoglossus XII);C1;"Der M. thyrohyoideus nähert beim Schlucken Zungenbein und Kehlkopf einander an und erleichtert so den Verschluss des Kehlkopfeingangs; Lähmungen durch N.-hypoglossus-Läsionen (R. thyrohyoideus aus C1) können Aspirationen begünstigen.";nein;Infrahyoidale Muskeln;2;0;ja;M. thyrohyoideus;thyrohyoideus
M. tibialis anterior;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris;Sprunggelenk & Fuß;"Tibia, Condylus und Facies lateralis (proximal); Membrana interossea";Os cuneiforme I und Os metatarsale I (Basis);"Hebt den Fuß (Dorsalextension) und supiniert; stützt das mediale Längsgewölbe; bei der Gangabwicklung verhindert er das Fußaufklappen";"Fuß: Dorsalextension · Supination; Unterstützung des Fußgewölbes";N. peroneus profundus;;"Bei N.-peroneus-profundus-Parese entsteht eine Fußheberschwäche (Fallfuß); bei Kompartmentsyndrom des vorderen Loge ist dieser Muskel besonders betroffen";nein;;1;2;ja;M. tibialis anterior;tibialis-anterior
M. tibialis posterior;;Untere Extremität;Fuß & Sprunggelenk;Art. talocruralis · Art. subtalaris;Sprunggelenk & Fuß;Facies posterior tibiae et fibulae und Membrana interossea;"Os naviculare (Tuberositas), Ossa cuneiformia (plantare Seite); Os cuboideum und Os metatarsale II–IV (Basis)";"Plantarflektiert und supiniert den Fuß; wichtigster statischer und dynamischer Stabilisator des medialen Längsgewölbes";Fuß: Plantarflexion · Supination;N. tibialis;;"Insuffizienz führt zum Kollaps des medialen Gewölbes und progressivem Plattfuß; Tarsaltunnelsyndrom kann den N. tibialis hinter dem Innenknöchel einklemmen";nein;;2;2;ja;M. tibialis posterior;tibialis-posterior
M. transversus abdominis;;Wirbelsäule & Rumpf;Bauchmuskulatur;Rumpf;Bauchwand & Beckenboden;Innenfläche der 7.–12. Rippenknorpel, Fascia thoracolumbalis, Crista iliaca, Lig. inguinale;Linea alba, Rektusscheide;Der M. transversus abdominis umgibt den Rumpf wie ein muskuläres Korsett und erhöht bei Kontraktion den intraabdominalen Druck. Er ist der wichtigste Stabilisator der Lendenwirbelsäule und des Beckens und bildet die Grundlage jeder Core-Stabilisation.;Kompression (Bauchpresse);Nn. intercostales, N. iliohypogastricus, N. ilioinguinalis;Th7–Th12;Wichtigster Core-Stabilisator, feedforward-Aktivierung;nein;Bauchwand;2;0;ja;M. transversus abdominis;transversus-abdominis
M. transversus perinei profundus;;Wirbelsäule & Rumpf;Beckenboden;Becken;Bauchwand & Beckenboden;Rami der Ossa ischii;Rami der Ossa ischii (Gegenseite);Spannt die tiefe Urogenitalplatte quer aus und unterstützt Kontinenz sowie Organhalt;Stützt Beckeneingeweide;N. pudendus;S2, S3, S4;Beckenbodenschwäche;nein;Beckenboden;3;0;ja;M. transversus perinei profundus;transversus-perinei-profundus
M. transversus perinei superficialis;;Wirbelsäule & Rumpf;Beckenboden;Becken;Bauchwand & Beckenboden;Tuber ischiadicum;Corpus perineale;Stabilisiert das perineale Zentrum und unterstützt den oberflächlichen Beckenboden;Stützt Beckeneingeweide;N. pudendus;S2, S3, S4;Beckenbodenschwäche;nein;Beckenboden;3;0;ja;M. transversus perinei superficialis;transversus-perinei-superficialis
M. trapezius – Pars ascendens;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Procc. spinosi Th3–Th12;Laterales Drittel der Spina scapulae;"Senkung der Scapula; unterstützt die Aufwärtsrotation";Depression · Retraktion · Laterorotation;N. accessorius (XI), Plexus cervicalis;C2, C3, C4;Schwäche begünstigt Schulterhochstand;nein;;1;2;ja;M. trapezius – Pars ascendens;trapezius-pars-ascendens
M. trapezius – Pars descendens;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Linea nuchae superior, Protuberantia occipitalis externa, Lig. nuchae C1–C6;Laterales Drittel der Clavicula, Akromion;"Hebt die Scapula und unterstützt die Aufwärtsrotation; unterstützt HWS-Bewegungen";Elevation · Laterorotation;N. accessorius (XI), Plexus cervicalis;C2, C3, C4;Verspannungen, Zervikalsyndrom, Triggerpunkte;nein;;1;2;ja;M. trapezius – Pars descendens;trapezius-pars-descendens
M. trapezius – Pars transversa;;Obere Extremität;Schultergürtel;Schultergürtel;Schultergürtel;Unterer Teil des Lig. nuchae (C6–C7), Procc. spinosi Th1–Th3;Akromion, lateraler Teil der Spina scapulae;Retraktion der Scapula;Retraktion;N. accessorius (XI), Plexus cervicalis;C2, C3, C4;Schwäche führt zu Skapula-Protraktion;nein;;1;2;ja;M. trapezius – Pars transversa;trapezius-pars-transversa
M. triceps brachii – Caput laterale und mediale;;Obere Extremität;Ellenbogen;Art. cubiti;Ellenbogen;"Caput laterale: Facies posterior humeri proximal des Sulcus n. radialis; Caput mediale: Facies posterior humeri distal des Sulcus n. radialis";Olecranon ulnae;Extension im Ellenbogen;Extension;N. radialis;C6, C7, C8;Trizepssehnenruptur;nein;;1;3;ja;M. triceps brachii – Caput laterale und mediale;triceps-brachii-caput-laterale-und-mediale
M. triceps brachii – Caput longum;;Obere Extremität;Ellenbogen;Art. cubiti · Art. humeri;Schultergelenk · Ellenbogen;Tuberculum und Labrum infraglenoidale scapulae;Olecranon ulnae;"Extension im Ellenbogen; unterstützt Extension und Adduktion im Schultergelenk";Extension · Adduktion;N. radialis;C6, C7, C8;Trizepssehnenruptur;nein;;1;3;ja;M. triceps brachii – Caput longum;triceps-brachii-caput-longum
M. vastus intermedius;;Untere Extremität;Knie;Art. genus;Kniegelenk;Corpus femoris (ventral);Tuberositas tibiae (via Patellarsehne), Retinaculum patellae;"Streckt das Knie (Extension in der Art. genus); bildet gemeinsam mit den anderen Quadricepsanteilen die Hauptkraft für die Knieextension";Knieextension;N. femoralis;L2, L3, L4;"Ruptur der Quadricepssehne kann alle vier Köpfe betreffen; der Vastus intermedius liegt am tiefsten und ist diagnostisch oft erst in der MRT-Bildgebung beurteilbar";nein;M. quadriceps femoris;2;3;ja;M. vastus intermedius;vastus-intermedius
M. vastus lateralis;;Untere Extremität;Knie;Art. genus;Kniegelenk;Trochanter major und Labium laterale der Linea aspera (dorsolateral);Tuberositas tibiae (via Patellarsehne), Retinaculum patellae;"Streckt das Knie (Extension in der Art. genus); beeinflusst die Patellastellung über das laterale Retinaculum";Knieextension;N. femoralis;L2, L3, L4;"Bei Tractus-iliotibialis-Syndrom kann der verdickte Tractus auf den Vastus lateralis Druck ausüben; auch bei vorderem Knieschmerz und Patelladysplasie klinisch relevant";nein;M. quadriceps femoris;1;3;ja;M. vastus lateralis;vastus-lateralis
M. vastus medialis;;Untere Extremität;Knie;Art. genus;Kniegelenk;Labium mediale der Linea aspera (dorsomedial);Tuberositas tibiae (via Patellarsehne), Retinaculum patellae;"Streckt das Knie (Extension in der Art. genus); der schräg verlaufende distale Anteil (VMO) stabilisiert die Patella nach medial";Knieextension;N. femoralis;L2, L3, L4;"VMO-Insuffizienz (vastus medialis oblique) begründet laterale Patellainstabilität und Patellaluxation; gezieltes Training des VMO ist Bestandteil vieler Knierehabilitationsprogramme";nein;M. quadriceps femoris;1;3;ja;M. vastus medialis;vastus-medialis
Mm. iliocostales;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;"Pars lumbalis: Sakrum und Crista iliaca; Pars thoracalis: 7.–12. Rippe";"Anguli costae Rippen 7–12 (Pars lumbalis); 1.–6. Rippe (Pars thoracalis); Procc. transversi C4–C6 (Pars cervicalis)";"Strecken den Rumpf; einseitig Seitneigung, zervikal zusätzlich Atemhilfe";Extension · Lateralflexion;Rr. dorsales der Spinalnerven;;Rückenschmerzen, muskuläre Dysbalance;nein;Autochthone Rückenmuskulatur — lateraler Trakt;2;0;ja;Mm. iliocostales;iliocostales
Mm. interossei dorsales;;Untere Extremität;Fuß & Sprunggelenk;MTP Zehen II–IV;Sprunggelenk & Fuß;Ossa metatarsi I–V (die einander zugewandten Seiten);Zehen II–IV, Basis der proximalen Phalangen (lateral und medial);"Abduzieren die Zehen II–IV vom zweiten Strahl weg; beugen die MTP-Gelenke; Zehe II kann durch den ersten dorsalen Interosseus auch medialwärts abduziert werden";"Zeh II–IV: Flexion und laterale Abduktion im MTP-Gelenk; Zeh II: mediale Abduktion";N. tibialis (N. plantaris lateralis);;"Beim Spreizfuß sind die dorsalen Interossei durch den Druck in der Fußquere gestört; bei Krallenzehen überwiegen die extrinsischen Muskeln gegenüber den schwachen Interossei";nein;;3;1;ja;Mm. interossei dorsales;interossei-dorsales
Mm. interossei dorsales I–IV;;Obere Extremität;Hand & Finger;MCP · PIP · DIP;Hand;Einander zugekehrte Seiten der Ossa metacarpi I–V;Dorsalaponeurosen der Finger II–IV;"Abduktion der Finger vom Mittelfinger weg; zusätzlich MCP-Flexion und IP-Extension";MCP-Flexion · IP-Extension · Abduktion;N. ulnaris;C8, Th1;Ulnarisparese – Atrophie der Interossei;nein;;3;1;ja;Mm. interossei dorsales I–IV;interossei-dorsales-i-iv
Mm. interossei palmares I–III;;Obere Extremität;Hand & Finger;MCP · PIP · DIP;Hand;Ulnare Seite des Os metacarpale II, radiale Seite der Ossa metacarpi IV und V;Dorsalaponeurosen der Finger II, IV und V;"Adduktion der Finger zum Mittelfinger; zusätzlich MCP-Flexion und IP-Extension";MCP-Flexion · IP-Extension · Adduktion;N. ulnaris;C8, Th1;Ulnarisparese – Krallenhand;nein;;3;1;ja;Mm. interossei palmares I–III;interossei-palmares-i-iii
Mm. interossei plantares;;Untere Extremität;Fuß & Sprunggelenk;MTP Zehen III–V;Sprunggelenk & Fuß;Ossa metatarsi III–V;Zehen III–V, Basis der proximalen Phalangen;"Adduzieren die Zehen III–V zur zweiten Zehenachse hin; beugen die MTP-Gelenke";Zeh III–V: Flexion und Adduktion der MTP-Gelenke (zum II. Strahl hin);N. tibialis (N. plantaris lateralis);;"Bei Spreizfuß und Krallenzehen durch Schwäche der intrinsischen Fußmuskeln; enger Schuhwerk begünstigt die Ausprägung";nein;;3;1;ja;Mm. interossei plantares;interossei-plantares
Mm. interspinales;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;Procc. spinosi (zervikal, thorakal, lumbal);Nächsthöhere Procc. spinosi;Die Mm. interspinales wirken als segmentale Extensoren: Durch die Annäherung benachbarter Dornfortsätze leisten sie einen feinen Beitrag zur Aufrichtung der Wirbelsäule und unterstützen dabei propriozeptiv die Gelenkstellung.;Extension;Rr. dorsales der Spinalnerven;;Segmentale Stabilisation;nein;Autochthone Rückenmuskulatur — medialer Trakt;3;0;ja;Mm. interspinales;interspinales
Mm. intertransversarii mediales;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule;Wirbelsäule;Procc. transversi (zervikal und lumbal);Nächsthöhere Procc. transversi;Bei einseitiger Aktivität neigen die Mm. intertransversarii mediales die Wirbelsäule zur ipsilateralen Seite. Werden sie beiderseits aktiviert, leisten sie einen ergänzenden Beitrag zur segmentalen Streckung.;Lateralflexion · Extension;Rr. dorsales der Spinalnerven;;Segmentale Stabilisation;nein;Autochthone Rückenmuskulatur — medialer Trakt;3;0;ja;Mm. intertransversarii mediales;intertransversarii-mediales
Mm. longissimi;;Wirbelsäule & Rumpf;Rückenmuskulatur;Wirbelsäule · Kopf;Wirbelsäule;"M. longissimus thoracis: Procc. accessorii und Procc. transversi L1–L5; M. longissimus capitis/cervicis: Procc. transversi der thorakalen und zervikalen Wirbel";"Crista iliaca, Sakrum (lumbal); 1.–12. Rippe (thorakal); Proc. mastoideus (capitis)";"Die Mm. longissimi richten bei beidseitiger Aktivität die Wirbelsäule und den Kopf auf; bei einseitiger Kontraktion bewirken sie eine Lateralflexion und ipsilaterale Rotation. Die Kapitis-Anteile ermöglichen zusätzlich eine Reklination des Kopfes.";Extension · Lateralflexion · Rotation ipsilateral;Rr. dorsales der Spinalnerven;;Rückenschmerzen, muskuläre Dysbalance;nein;Autochthone Rückenmuskulatur — lateraler Trakt;2;0;ja;Mm. longissimi;longissimi
